server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,openSSLClientVersion,page,connections/duration,duration,bytes/connection
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.0.2p,large,1210,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.0.2p,medium,2941,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.0.2p,small,3241,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.1.1,-,3136,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.1.1,huge,183,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.1.1,large,1179,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.1.1,medium,2891,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,true,1.1.1,small,2985,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.0.2p,-,49645,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.0.2p,huge,2,60,52428870
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.0.2p,large,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.0.2p,medium,4,60,393318
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.0.2p,small,24,60,9943
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.1.1,-,16376,33,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.1.1,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.1.1,large,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.1.1,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,true,1.1.1,small,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.0.2p,-,5229,31,0
